NAME,GSS_CODE,HECTARES,NONLD_AREA,LB_GSS_CD,BOROUGH
Chessington South,E05000405,755.173,0,E09000021,Kingston upon Thames
Tolworth and Hook Rise,E05000414,259.464,0,E09000021,Kingston upon Thames
Berrylands,E05000401,145.39,0,E09000021,Kingston upon Thames
Alexandra,E05000400,268.506,0,E09000021,Kingston upon Thames
Beverley,E05000402,187.821,0,E09000021,Kingston upon Thames
Coombe Hill,E05000406,442.17,0,E09000021,Kingston upon Thames
Chessington North and Hook,E05000404,192.98,0,E09000021,Kingston upon Thames
Surbiton Hill,E05000413,166.482,0,E09000021,Kingston upon Thames
Old Malden,E05000410,180.016,0,E09000021,Kingston upon Thames
St. Mark's,E05000412,137.578,0,E09000021,Kingston upon Thames
Grove,E05000408,192.034,0,E09000021,Kingston upon Thames
Canbury,E05000403,124.241,0,E09000021,Kingston upon Thames
Norbiton,E05000409,134.711,0,E09000021,Kingston upon Thames
Coombe Vale,E05000407,164.71,0,E09000021,Kingston upon Thames
St. James,E05000411,216.584,0,E09000021,Kingston upon Thames
Tudor,E05000415,158.255,0,E09000021,Kingston upon Thames
Coulsdon East,E05000150,774.358,0,E09000008,Croydon
Selsdon and Ballards,E05000162,639.834,0,E09000008,Croydon
Coulsdon West,E05000151,499.147,0,E09000008,Croydon
Waddon,E05000167,364.759,0,E09000008,Croydon
Kenley,E05000156,645.609,0,E09000008,Croydon
Purley,E05000159,417.518,0,E09000008,Croydon
Sanderstead,E05000160,634.697,0,E09000008,Croydon
Heathfield,E05000155,871.342,0,E09000008,Croydon
Fairfield,E05000153,377.221,0,E09000008,Croydon
Broad Green,E05000149,266.195,0,E09000008,Croydon
West Thornton,E05000168,197.117,0,E09000008,Croydon
Bensham Manor,E05000148,144.147,0,E09000008,Croydon
Norbury,E05000158,251.818,0,E09000008,Croydon
New Addington,E05000157,241.71,0,E09000008,Croydon
Croham,E05000152,352.705,0,E09000008,Croydon
Fieldway,E05000154,148.649,0,E09000008,Croydon
Shirley,E05000163,280.541,0,E09000008,Croydon
Selhurst,E05000161,227.303,0,E09000008,Croydon
Ashburton,E05000147,271.173,0,E09000008,Croydon
Woodside,E05000169,216.651,0,E09000008,Croydon
Thornton Heath,E05000165,168.107,0,E09000008,Croydon
Upper Norwood,E05000166,262.328,0,E09000008,Croydon
South Norwood,E05000164,237.817,0,E09000008,Croydon
Addiscombe,E05000146,158.808,0,E09000008,Croydon
Darwin,E05000117,2903.96,0,E09000006,Bromley
Hayes and Coney Hall,E05000119,1082.306,0,E09000006,Bromley
Bromley Common and Keston,E05000108,830.82,0,E09000006,Bromley
Chelsfield and Pratts Bottom,E05000110,1256.32,0,E09000006,Bromley
Biggin Hill,E05000107,828.039,0,E09000006,Bromley
West Wickham,E05000127,441.047,0,E09000006,Bromley
Clock House,E05000112,226.647,0,E09000006,Bromley
Kelsey and Eden Park,E05000120,519.895,0,E09000006,Bromley
Farnborough and Crofton,E05000118,700.584,0,E09000006,Bromley
Shortlands,E05000126,245.665,0,E09000006,Bromley
Bromley Town,E05000109,371.656,0,E09000006,Bromley
Bickley,E05000106,486.913,0,E09000006,Bromley
Petts Wood and Knoll,E05000124,430.127,0,E09000006,Bromley
Crystal Palace,E05000116,229.114,0,E09000006,Bromley
Penge and Cator,E05000123,295.972,0,E09000006,Bromley
Copers Cope,E05000113,328.692,0,E09000006,Bromley
Plaistow and Sundridge,E05000125,400.094,0,E09000006,Bromley
Chislehurst,E05000111,1044.12,0,E09000006,Bromley
Mottingham and Chislehurst North,E05000121,244.184,0,E09000006,Bromley
Orpington,E05000122,425.616,0,E09000006,Bromley
Cray Valley West,E05000115,393.85,0,E09000006,Bromley
Cray Valley East,E05000114,1327.866,0,E09000006,Bromley
Bedfont,E05000346,444.841,0,E09000018,Hounslow
Hanworth,E05000353,323.258,0,E09000018,Hounslow
Cranford,E05000350,272.63,0,E09000018,Hounslow
Syon,E05000364,285.378,13.187,E09000018,Hounslow
Heston West,E05000357,382.657,0,E09000018,Hounslow
Heston East,E05000356,205.913,0,E09000018,Hounslow
Osterley and Spring Grove,E05000363,627.784,0,E09000018,Hounslow
Brentford,E05000347,318.351,3.263,E09000018,Hounslow
Chiswick Homefields,E05000348,225.923,22.286,E09000018,Hounslow
Feltham West,E05000352,318.105,0,E09000018,Hounslow
Hanworth Park,E05000354,366.126,0,E09000018,Hounslow
Feltham North,E05000351,338.448,0,E09000018,Hounslow
Hounslow Heath,E05000359,278.178,0,E09000018,Hounslow
Hounslow West,E05000361,162.018,0,E09000018,Hounslow
Heston Central,E05000355,168.478,0,E09000018,Hounslow
Hounslow South,E05000360,179.011,0,E09000018,Hounslow
Isleworth,E05000362,203.089,6.436,E09000018,Hounslow
Hounslow Central,E05000358,173.393,0,E09000018,Hounslow
Chiswick Riverside,E05000349,208.007,15.584,E09000018,Hounslow
Turnham Green,E05000365,176.953,0,E09000018,Hounslow
Norwood Green,E05000186,379.609,0,E09000009,Ealing
Southall Green,E05000190,158.616,0,E09000009,Ealing
Northolt West End,E05000185,354.536,0,E09000009,Ealing
Dormers Wells,E05000172,225.73,0,E09000009,Ealing
Greenford Broadway,E05000177,251.669,0,E09000009,Ealing
North Greenford,E05000183,325.737,0,E09000009,Ealing
Northfield,E05000182,154.011,0,E09000009,Ealing
East Acton,E05000175,427.588,0,E09000009,Ealing
Southall Broadway,E05000189,161.725,0,E09000009,Ealing
Elthorne,E05000176,199.963,0,E09000009,Ealing
Walpole,E05000192,146.596,0,E09000009,Ealing
Lady Margaret,E05000181,154.182,0,E09000009,Ealing
Northolt Mandeville,E05000184,275.664,0,E09000009,Ealing
Hobbayne,E05000180,220.937,0,E09000009,Ealing
Cleveland,E05000171,222.856,0,E09000009,Ealing
Greenford Green,E05000178,338.477,0,E09000009,Ealing
Perivale,E05000187,336.775,0,E09000009,Ealing
Ealing Common,E05000174,214.106,0,E09000009,Ealing
Ealing Broadway,E05000173,185.676,0,E09000009,Ealing
South Acton,E05000188,171.92,0,E09000009,Ealing
Southfield,E05000191,142.869,0,E09000009,Ealing
Acton Central,E05000170,177.463,0,E09000009,Ealing
Hanger Hill,E05000179,327.724,0,E09000009,Ealing
Upminster,E05000323,2253.736,0,E09000016,Havering
Rainham and Wennington,E05000318,1688.01,154.284,E09000016,Havering
South Hornchurch,E05000321,687.318,56.479,E09000016,Havering
Elm Park,E05000308,366.535,0,E09000016,Havering
Brooklands,E05000306,420.264,0,E09000016,Havering
Romford Town,E05000319,286.473,0,E09000016,Havering
Mawneys,E05000316,304.261,0,E09000016,Havering
Pettits,E05000317,395.457,0,E09000016,Havering
Hacton,E05000311,246.542,0,E09000016,Havering
St. Andrew's,E05000320,267.712,0,E09000016,Havering
Emerson Park,E05000309,464.243,0,E09000016,Havering
Squirrel's Heath,E05000322,265.147,0,E09000016,Havering
Harold Wood,E05000312,758.973,0,E09000016,Havering
Cranham,E05000307,655.501,0,E09000016,Havering
Havering Park,E05000313,978.33,0,E09000016,Havering
Heaton,E05000314,341.564,0,E09000016,Havering
Gooshays,E05000310,775.896,0,E09000016,Havering
Hylands,E05000315,289.774,0,E09000016,Havering
Heathrow Villages,E05000331,2352.117,0,E09000017,Hillingdon
Harefield,E05000330,1522.704,0,E09000017,Hillingdon
West Drayton,E05000342,349.07,0,E09000017,Hillingdon
Yiewsley,E05000345,402.251,0,E09000017,Hillingdon
Uxbridge South,E05000341,311.447,0,E09000017,Hillingdon
Brunel,E05000326,327.691,0,E09000017,Hillingdon
Uxbridge North,E05000340,464.118,0,E09000017,Hillingdon
Hillingdon East,E05000332,359.812,0,E09000017,Hillingdon
Ickenham,E05000333,620.442,0,E09000017,Hillingdon
West Ruislip,E05000343,438.74,0,E09000017,Hillingdon
Northwood,E05000335,739.794,0,E09000017,Hillingdon
South Ruislip,E05000338,741.795,0,E09000017,Hillingdon
Manor,E05000334,197.418,0,E09000017,Hillingdon
Eastcote and East Ruislip,E05000329,406.341,0,E09000017,Hillingdon
Northwood Hills,E05000336,332.91,0,E09000017,Hillingdon
Pinkwell,E05000337,274.833,0,E09000017,Hillingdon
Botwell,E05000325,436.277,0,E09000017,Hillingdon
Charville,E05000328,297.433,0,E09000017,Hillingdon
Townfield,E05000339,349.833,0,E09000017,Hillingdon
Barnhill,E05000324,211.821,0,E09000017,Hillingdon
Yeading,E05000344,232.126,0,E09000017,Hillingdon
Cavendish,E05000327,201.145,0,E09000017,Hillingdon
Roxeth,E05000302,157.492,0,E09000015,Harrow
Harrow on the Hill,E05000289,357.209,0,E09000015,Harrow
Pinner,E05000297,327.686,0,E09000015,Harrow
Pinner South,E05000298,234.561,0,E09000015,Harrow
Greenhill,E05000288,174.49,0,E09000015,Harrow
Headstone North,E05000292,329.634,0,E09000015,Harrow
Marlborough,E05000296,164.663,0,E09000015,Harrow
Harrow Weald,E05000290,458.973,0,E09000015,Harrow
Stanmore Park,E05000303,445.929,0,E09000015,Harrow
Canons,E05000286,562.632,0,E09000015,Harrow
Rayners Lane,E05000300,152.974,0,E09000015,Harrow
Roxbourne,E05000301,150.576,0,E09000015,Harrow
West Harrow,E05000305,151.462,0,E09000015,Harrow
Hatch End,E05000291,327.866,0,E09000015,Harrow
Headstone South,E05000293,146.764,0,E09000015,Harrow
Kenton West,E05000295,176.456,0,E09000015,Harrow
Wealdstone,E05000304,119.595,0,E09000015,Harrow
Belmont,E05000285,177.704,0,E09000015,Harrow
Kenton East,E05000294,127.926,0,E09000015,Harrow
Queensbury,E05000299,161.364,0,E09000015,Harrow
Edgware,E05000287,140.319,0,E09000015,Harrow
Northwick Park,E05000096,267.991,0,E09000005,Brent
Wembley Central,E05000104,160.424,0,E09000005,Brent
Preston,E05000097,238.828,0,E09000005,Brent
Stonebridge,E05000100,405.063,0,E09000005,Brent
Welsh Harp,E05000103,231.897,0,E09000005,Brent
Barnhill,E05000086,297.908,0,E09000005,Brent
Fryent,E05000090,265.938,0,E09000005,Brent
Sudbury,E05000101,212.48,0,E09000005,Brent
Alperton,E05000085,205.853,0,E09000005,Brent
Kensal Green,E05000092,112.008,0,E09000005,Brent
Harlesden,E05000091,111.37,0,E09000005,Brent
Willesden Green,E05000105,154.803,0,E09000005,Brent
Queens Park,E05000098,148.562,0,E09000005,Brent
Brondesbury Park,E05000087,172.942,0,E09000005,Brent
Kilburn,E05000094,94.4,0,E09000005,Brent
Tokyngton,E05000102,275.917,0,E09000005,Brent
Kenton,E05000093,224.315,0,E09000005,Brent
Dudden Hill,E05000089,168.144,0,E09000005,Brent
Dollis Hill,E05000088,229.956,0,E09000005,Brent
Mapesbury,E05000095,139.347,0,E09000005,Brent
Queensbury,E05000099,205.124,0,E09000005,Brent
Underhill,E05000060,455.053,0,E09000003,Barnet
High Barnet,E05000056,830.666,0,E09000003,Barnet
West Hendon,E05000062,342.865,0,E09000003,Barnet
Golders Green,E05000053,297.292,0,E09000003,Barnet
Colindale,E05000046,263.627,0,E09000003,Barnet
Childs Hill,E05000045,309.301,0,E09000003,Barnet
Garden Suburb,E05000052,472.705,0,E09000003,Barnet
Finchley Church End,E05000051,272.564,0,E09000003,Barnet
East Finchley,E05000049,250.989,0,E09000003,Barnet
Edgware,E05000050,555.652,0,E09000003,Barnet
Mill Hill,E05000057,938.921,0,E09000003,Barnet
Hale,E05000054,542.315,0,E09000003,Barnet
Totteridge,E05000059,877.446,0,E09000003,Barnet
Oakleigh,E05000058,331.861,0,E09000003,Barnet
Woodhouse,E05000063,262.117,0,E09000003,Barnet
Coppetts,E05000047,272.058,0,E09000003,Barnet
Brunswick Park,E05000043,317.526,0,E09000003,Barnet
East Barnet,E05000048,374.943,0,E09000003,Barnet
Burnt Oak,E05000044,206.719,0,E09000003,Barnet
Hendon,E05000055,283.871,0,E09000003,Barnet
West Finchley,E05000061,216.344,0,E09000003,Barnet
Streatham South,E05000431,169.809,0,E09000022,Lambeth
St. Leonard's,E05000428,144.773,0,E09000022,Lambeth
Streatham Wells,E05000432,144.978,0,E09000022,Lambeth
Knight's Hill,E05000424,147.166,0,E09000022,Lambeth
Thornton,E05000433,107.759,0,E09000022,Lambeth
Streatham Hill,E05000430,127.063,0,E09000022,Lambeth
Clapham Common,E05000418,133.854,0,E09000022,Lambeth
Brixton Hill,E05000417,113.124,0,E09000022,Lambeth
Tulse Hill,E05000435,103.195,0,E09000022,Lambeth
Coldharbour,E05000420,120.806,0,E09000022,Lambeth
Ferndale,E05000421,85.073,0,E09000022,Lambeth
Larkhall,E05000425,106.124,0,E09000022,Lambeth
Oval,E05000426,127.764,3.586,E09000022,Lambeth
Vassall,E05000436,112.973,0,E09000022,Lambeth
Gipsy Hill,E05000422,157.067,0,E09000022,Lambeth
Thurlow Park,E05000434,151.482,0,E09000022,Lambeth
Herne Hill,E05000423,203.038,0,E09000022,Lambeth
Bishop's,E05000416,153.959,30.258,E09000022,Lambeth
Clapham Town,E05000419,111.893,0,E09000022,Lambeth
Stockwell,E05000429,86.678,0,E09000022,Lambeth
Prince's,E05000427,116.363,10.083,E09000022,Lambeth
College,E05000538,323.324,0,E09000028,Southwark
Riverside,E05000548,132.822,28.574,E09000028,Southwark
Village,E05000554,278.745,0,E09000028,Southwark
South Camberwell,E05000551,133.149,0,E09000028,Southwark
East Dulwich,E05000539,102.069,0,E09000028,Southwark
Peckham Rye,E05000547,225.242,0,E09000028,Southwark
Camberwell Green,E05000535,97.461,0,E09000028,Southwark
Brunswick Park,E05000534,93.441,0,E09000028,Southwark
The Lane,E05000553,138.888,0,E09000028,Southwark
Nunhead,E05000545,132.84,0,E09000028,Southwark
Peckham,E05000546,86.966,0,E09000028,Southwark
Newington,E05000544,83.358,0,E09000028,Southwark
Faraday,E05000541,87.815,0,E09000028,Southwark
East Walworth,E05000540,114.662,0,E09000028,Southwark
Livesey,E05000543,143.832,0,E09000028,Southwark
South Bermondsey,E05000550,97.363,0,E09000028,Southwark
Cathedrals,E05000536,176.822,18.584,E09000028,Southwark
Grange,E05000542,121.453,0,E09000028,Southwark
Rotherhithe,E05000549,149.05,12.968,E09000028,Southwark
Surrey Docks,E05000552,190.062,45.013,E09000028,Southwark
Chaucer,E05000537,81.977,0,E09000028,Southwark
Bellingham,E05000437,308.471,0,E09000023,Lewisham
Telegraph Hill,E05000453,154.631,0,E09000023,Lewisham
Downham,E05000442,238.178,0,E09000023,Lewisham
Whitefoot,E05000454,223.004,0,E09000023,Lewisham
Blackheath,E05000438,231.823,0,E09000023,Lewisham
Sydenham,E05000452,174.372,0,E09000023,Lewisham
Forest Hill,E05000444,182.785,0,E09000023,Lewisham
Perry Vale,E05000450,168.45,0,E09000023,Lewisham
Rushey Green,E05000451,178.524,0,E09000023,Lewisham
Catford South,E05000440,186.655,0,E09000023,Lewisham
Crofton Park,E05000441,171.962,0,E09000023,Lewisham
Ladywell,E05000446,160.598,0,E09000023,Lewisham
Lewisham Central,E05000448,206.203,0,E09000023,Lewisham
Brockley,E05000439,168.183,0,E09000023,Lewisham
New Cross,E05000449,181.114,1.407,E09000023,Lewisham
Grove Park,E05000445,239.291,0,E09000023,Lewisham
Lee Green,E05000447,179.842,0,E09000023,Lewisham
Evelyn,E05000443,177.62,15.388,E09000023,Lewisham
Middle Park and Sutcliffe,E05000224,329.143,0,E09000011,Greenwich
Coldharbour and New Eltham,E05000217,254.935,0,E09000011,Greenwich
Eltham South,E05000219,462.641,0,E09000011,Greenwich
Shooters Hill,E05000227,377.072,0,E09000011,Greenwich
Peninsula,E05000225,449.194,107.254,E09000011,Greenwich
Woolwich Riverside,E05000230,326.109,72.317,E09000011,Greenwich
Greenwich West,E05000222,279.234,26.431,E09000011,Greenwich
Eltham West,E05000220,242.564,0,E09000011,Greenwich
Blackheath Westcombe,E05000215,213.815,0,E09000011,Greenwich
Kidbrooke with Hornfair,E05000223,237.454,0,E09000011,Greenwich
Eltham North,E05000218,255.512,0,E09000011,Greenwich
Charlton,E05000216,203.12,0,E09000011,Greenwich
Woolwich Common,E05000229,262.035,0,E09000011,Greenwich
Plumstead,E05000226,234.189,0,E09000011,Greenwich
Glyndon,E05000221,170.196,15.42,E09000011,Greenwich
Thamesmead Moorings,E05000228,481.256,89.362,E09000011,Greenwich
Abbey Wood,E05000214,265.721,0,E09000011,Greenwich
Longlands,E05000078,259.723,0,E09000004,Bexley
Blackfen and Lamorbey,E05000066,168.558,0,E09000004,Bexley
Cray Meadows,E05000072,719.031,0,E09000004,Bexley
Sidcup,E05000083,270.347,0,E09000004,Bexley
St. Mary's,E05000081,442.853,0,E09000004,Bexley
Crayford,E05000071,397.229,0.451,E09000004,Bexley
North End,E05000079,568.001,122.841,E09000004,Bexley
Erith,E05000075,475.333,131.166,E09000004,Bexley
Belvedere,E05000065,317.549,30.441,E09000004,Bexley
Thamesmead East,E05000084,483.369,85.721,E09000004,Bexley
Falconwood and Welling,E05000076,167.026,0,E09000004,Bexley
East Wickham,E05000074,217.313,0,E09000004,Bexley
Blendon and Penhill,E05000067,209.79,0,E09000004,Bexley
Danson Park,E05000073,271.324,0,E09000004,Bexley
Christchurch,E05000069,255.207,0,E09000004,Bexley
St. Michael's,E05000082,144.814,0,E09000004,Bexley
Brampton,E05000068,196.746,0,E09000004,Bexley
Northumberland Heath,E05000080,175.282,0,E09000004,Bexley
Barnehurst,E05000064,287.74,0,E09000004,Bexley
Colyers,E05000070,164.393,0,E09000004,Bexley
Lesnes Abbey,E05000077,237.019,0,E09000004,Bexley
Chase,E05000195,1693.541,0,E09000010,Enfield
Winchmore Hill,E05000213,276.07,0,E09000010,Enfield
Cockfosters,E05000196,1041.279,0,E09000010,Enfield
Highlands,E05000202,508.803,0,E09000010,Enfield
Upper Edmonton,E05000212,264.24,0,E09000010,Enfield
Palmers Green,E05000205,194.212,0,E09000010,Enfield
Edmonton Green,E05000197,312.642,0,E09000010,Enfield
Lower Edmonton,E05000204,218.248,0,E09000010,Enfield
Grange,E05000200,328.516,0,E09000010,Enfield
Jubilee,E05000203,392.833,0,E09000010,Enfield
Ponders End,E05000206,354.296,0,E09000010,Enfield
Enfield Highway,E05000198,463.653,0,E09000010,Enfield
Bowes,E05000193,148.337,0,E09000010,Enfield
Southgate Green,E05000209,261.351,0,E09000010,Enfield
Southgate,E05000208,268.727,0,E09000010,Enfield
Haselbury,E05000201,179.602,0,E09000010,Enfield
Bush Hill Park,E05000194,252.449,0,E09000010,Enfield
Town,E05000210,223.14,0,E09000010,Enfield
Southbury,E05000207,286.704,0,E09000010,Enfield
Turkey Street,E05000211,226.15,0,E09000010,Enfield
Enfield Lock,E05000199,325.231,0,E09000010,Enfield
Leyton,E05000604,203.218,0,E09000031,Waltham Forest
High Street,E05000599,305.893,0,E09000031,Waltham Forest
Higham Hill,E05000600,322.124,0,E09000031,Waltham Forest
Valley,E05000607,198.482,0,E09000031,Waltham Forest
Chingford Green,E05000593,372.664,0,E09000031,Waltham Forest
Cathall,E05000591,105.712,0,E09000031,Waltham Forest
Lea Bridge,E05000603,264.686,0,E09000031,Waltham Forest
Markhouse,E05000606,145.704,0,E09000031,Waltham Forest
Grove Green,E05000596,89.582,0,E09000031,Waltham Forest
